ID,Title,Theme,Research_Question,Hypothesis,Datasets,Methods,Target_Journal,Planned_Year,Status
P01,Pan-cancer immune deconvolution and survival meta-analysis,T1 Pan-cancer transcriptomics,How do inferred immune cell proportions relate to survival across TCGA cancers?,Higher CD8+ T and dendritic proportions predict improved survival; suppressive myeloid states predict worse outcomes.,TCGA (GDC); recount3 (bulk); HCA/TISCH refs,MuSiC/BayesPrism; DESeq2/edgeR; Cox models,Nature Communications,2025,Planned
P02,Cross-cancer WGCNA modules and clinical endpoints,T1 Pan-cancer transcriptomics,Do co-expression modules generalize across cancer types and associate with survival?,"Conserved cell-cycle, EMT, and immune modules explain survival variation.",TCGA; recount3,WGCNA; limma-voom; meta; survival,Genome Medicine,2025,Planned
P03,Splicing junction biomarkers from recount3 across cancers,T1 Pan-cancer transcriptomics,Are alternative splicing patterns prognostic across tumor types?,Recurrent junction usage predicts outcomes.,recount3 junctions; TCGA,Differential splicing; survival; cross-cohort validation,Nature Genetics,2026,Planned
P04,Sex differences in tumor immune microenvironment,T1 Pan-cancer transcriptomics,Are there sex-specific immune states linked to outcomes?,Sex modifies immune infiltration and exhaustion states.,TCGA; TISCH scRNA,Deconvolution; interaction models; stratified survival,Cancer Discovery,2026,Planned
P05,Proteogenomic integration of CPTAC with transcriptomics,T1 Pan-cancer transcriptomics,Which transcript–protein discordances are prognostic?,Discordance indicates post-transcriptional regulation impacting outcomes.,CPTAC (PDC); TCGA,Elastic-net; multi-omics integration; pathway,Nature Communications,2027,Planned
P06,lncRNA signatures for prognosis across cancers,T1 Pan-cancer transcriptomics,Can lncRNA expression stratify risk beyond coding genes?,lncRNA modules add orthogonal prognostic signal.,TCGA; recount3,DE + penalized Cox; validation,Genome Biology,2027,Planned
P07,Batch effect diagnostics across TCGA cohorts,T1 Pan-cancer transcriptomics,How do batch effects bias biomarker discovery?,Residual batch explains a fraction of signatures; corrected pipelines reduce false positives.,TCGA; recount3,sva/ComBat; simulations; sensitivity,Bioinformatics,2025,Planned
P08,Cross-platform validation using GEO microarray + RNA-seq,T1 Pan-cancer transcriptomics,Do RNA-seq signatures replicate on microarrays?,Robust signatures replicate after harmonization.,GEO microarray; recount3 RNA-seq,Cross-study normalization; limma; meta,eLife,2028,Planned
P09,Cell-type–specific expression imputation in bulk,T1 Pan-cancer transcriptomics,Can BayesPrism infer cell-type expression linked to outcomes?,Imputed cell-type expression captures prognostic programs.,TCGA bulk; scRNA refs,BayesPrism; survival; calibration,Nature Methods,2028,Planned
P10,Pan-cancer signature reproducibility score,T1 Pan-cancer transcriptomics,How reproducible are published gene signatures?,Only a subset are robust across cohorts and platforms.,GEO; TCGA; MSigDB,Signature scoring; meta; benchmarking,Nature Biotechnology,2029,Planned
P11,ICB response signatures from single-cell states,T2 TME & Immuno-oncology,Which T cell/myeloid states predict ICB response?,Conserved exhausted T and antigen-presenting myeloid states predict response.,TISCH ICB; SCP,Seurat/Scanpy; Harmony/scVI; pseudobulk; DA; bulk validation,Nature Medicine,2026,Planned
P12,CAF subtypes and EMT programs across tumors,T2 TME & Immuno-oncology,How do CAF states relate to EMT and outcomes?,Myofibroblastic CAFs drive EMT and poor prognosis.,TISCH; spatial Visium,Scanpy; Squidpy; LR analysis; survival,Cancer Cell,2027,Planned
P13,Myeloid cell states across cancers,T2 TME & Immuno-oncology,Are there universal myeloid activation states?,Conserved MDSC-like and inflammatory states across TME.,TISCH; HCA immune,Integration; marker analysis; trajectory,Immunity,2026,Planned
P14,Spatial heterogeneity metrics predict outcomes,T2 TME & Immuno-oncology,Do spatial mixing metrics associate with survival?,Higher immune–tumor segregation predicts poor outcomes.,Public Visium; TCGA clinical,Squidpy; spatial stats; survival,Nature Communications,2027,Planned
P15,Ligand–receptor rewiring under therapy,T2 TME & Immuno-oncology,How do cell–cell interactions change post-therapy?,Therapy reshapes myeloid–T cell signaling axes.,Paired pre/post scRNA,NicheNet/CellChat; differential LR,Science Advances,2027,Planned
P16,Tumor antigen presentation failure landscape,T2 TME & Immuno-oncology,How frequent are APM defects and where?,APM defects cluster in immune-cold tumors.,TCGA muts/expr; TISCH states,Mutation burden; expression; deconvolution,Genome Medicine,2026,Planned
P17,Trajectory of T cell exhaustion,T2 TME & Immuno-oncology,Is exhaustion progression conserved?,Conserved exhaustion continuum in ICB-naive tumors.,TISCH; scVelo trajectory,scVelo; pseudotime; meta,Cell Reports,2026,Planned
P18,TLS spatial niches,T2 TME & Immuno-oncology,Are TLS signatures detectable and prognostic?,TLS presence predicts improved outcomes.,Visium; bulk deconv,Squidpy; GSVA; survival,JCI Insight,2028,Planned
P19,GBM integrative TME atlas,T2 TME & Immuno-oncology,What microenvironments define GBM outcomes?,Myeloid–tumor niches drive prognosis.,TISCH GBM; Visium brain,Scanpy; Squidpy; LR; survival,Nature Cancer,2029,Planned
P20,B cell states and ICB benefit,T2 TME & Immuno-oncology,Do B cell states/TLS predict ICB response?,Activated B cells and TLS signatures predict benefit.,TISCH ICB; external cohorts,Integration; DA; validation,Nature Medicine,2029,Planned
P21,AD bulk meta-analysis (multi-cohort),T3 Neurodegeneration,What robust DE signatures track AD pathology?,Glial activation and synaptic loss signatures reproduce across cohorts.,recount3/GEO (ROSMAP/MSBB/Mayo),limma-voom; random-effects; GSVA,Acta Neuropathologica,2025,Planned
P22,Cell-type deconvolution vs Braak stage,T3 Neurodegeneration,Can cell-type proportions explain stage?,Astro/microglia rise with stage; inhibitory neurons fall.,AD bulk; HCA/SEA-AD refs,MuSiC/BayesPrism; ordinal models,Brain,2025,Planned
P23,Region-specific AD signatures,T3 Neurodegeneration,Do cortical regions show distinct signatures?,MTG/ITG show unique inflammatory modules.,recount3 regional,limma; WGCNA; enrichment,Molecular Psychiatry,2026,Planned
P24,Parkinson’s disease meta-analysis,T3 Neurodegeneration,What reproducible PD signatures emerge?,Mitochondrial and dopaminergic neuron loss signals dominate.,GEO/recount3 PD,limma-voom; meta; GSVA,Movement Disorders,2026,Planned
P25,ALS transcriptomic meta-analysis,T3 Neurodegeneration,Are immune modules conserved in ALS?,Innate immune activation conserved across cohorts.,GEO/recount3 ALS,limma; meta; enrichment,Nature Communications,2027,Planned
P26,AD single-cell integration (SEA-AD + HCA),T3 Neurodegeneration,Which cell states associate with cognition?,Resilient neuronal states associate with better cognition.,SEA-AD; HCA brain,Scanpy; Harmony; pseudobulk; DA,Nature Neuroscience,2027,Planned
P27,RNA velocity in AD inhibitory neurons,T3 Neurodegeneration,Do transitions predict decline?,Stalled maturation trajectories mark decline.,SEA-AD snRNA-seq,scVelo; trajectories,Neuron,2028,Planned
P28,Spatial mapping of AD modules,T3 Neurodegeneration,Are AD modules spatially localized?,Modules localize to pathology hotspots.,Visium AD,Squidpy; spatial stats,Brain,2028,Planned
P29,Cross-disease: AD vs PD vs ALS,T3 Neurodegeneration,Which modules are shared vs disease-specific?,Shared glial modules; disease-specific neuronal loss programs.,recount3/GEO; SEA-AD,Meta-analysis; clustering; enrichment,Genome Medicine,2029,Planned
